,track_popularity
5057,65
20935,31
6734,50
7947,0
1817,51
26379,39
30373,67
16705,44
24112,0
8719,3
27881,42
29094,0
9636,1
14817,54
3281,61
25425,67
9945,55
6273,43
31538,56
5452,42
22846,58
21450,81
15768,53
25164,52
4354,64
25316,5
8173,37
13961,45
7453,34
21198,69
6057,54
21298,55
317,81
9227,10
30433,64
22592,44
13829,60
29851,35
20817,69
5804,27
17692,48
12838,2
23045,71
4458,53
22463,36
20784,80
15674,17
2560,3
20769,32
22494,25
6954,17
2936,54
21608,46
21209,59
22075,59
32098,50
15341,1
8981,94
26744,39
28921,49
13312,17
4945,2
21512,14
19603,0
28331,24
6519,46
13196,76
23889,2
24067,30
1859,87
15683,0
5730,47
25248,0
14720,53
9368,52
32471,19
732,87
2740,63
21801,60
29976,84
9768,70
27230,77
14703,49
3103,78
26312,0
29225,33
22472,28
11463,43
28095,55
3802,84
4973,45
17730,57
28304,49
10522,49
617,54
6899,42
2197,0
31181,4
7531,51
18431,15
21166,39
2102,48
9570,76
5368,45
29610,69
18966,50
9511,20
9293,6
7519,55
23934,36
9944,53
7394,57
32156,50
20793,68
7923,55
1603,70
28928,22
7142,47
4311,33
4036,5
31075,0
1547,54
10589,56
4840,33
25937,72
17773,59
13909,20
12665,52
22022,61
17169,39
8900,0
19501,78
19992,36
10371,39
697,49
13307,7
22085,50
3288,62
21479,55
22249,45
2506,0
13045,0
24421,69
20401,70
23679,61
4977,0
13759,72
21610,58
22723,59
24291,28
4279,38
2203,82
21375,79
32732,28
29060,0
26803,30
23719,50
1584,69
32361,0
14777,55
5130,48
30796,57
10137,59
20361,74
18503,58
29431,30
3641,70
29140,41
997,25
4460,71
19472,0
2909,71
13360,0
30666,68
17207,62
32025,0
12283,54
27615,36
12414,15
6496,55
11338,0
18842,69
8329,0
1787,86
4191,46
24377,31
2314,75
29801,8
17807,89
23008,65
31290,56
19818,63
18755,91
11352,21
32684,44
3317,47
12729,50
3684,47
12195,14
32675,62
13898,25
27715,0
25733,0
8088,56
9374,65
3646,60
32231,50
16630,65
22113,79
32049,32
17976,55
27294,41
23605,25
22521,52
10646,36
7106,38
8903,0
18101,60
10157,65
32531,28
14347,43
20860,55
30959,7
6826,33
23624,75
25264,27
32598,15
18502,4
23289,81
7906,3
31761,68
28677,69
26860,50
9886,29
23976,60
26827,66
24922,24
8739,34
14960,0
23544,0
2138,5
23302,0
14886,40
13706,63
22243,0
10146,55
15931,20
28001,1
20759,64
3460,0
32624,34
32796,0
3755,71
29647,52
7686,23
5328,20
13274,63
27510,37
3491,0
26259,46
7366,38
7521,55
8346,8
3178,7
28066,58
19852,57
29566,9
4686,76
18544,74
14139,67
24413,15
6645,4
8383,47
13456,1
24647,1
11595,24
29308,67
23068,95
2520,7
21858,67
2557,81
7930,68
26974,46
11554,27
31932,0
16251,45
29449,0
31145,4
28624,70
11103,32
2025,57
11549,54
16760,51
3787,72
25008,4
